readingtime,readingvalue
2018-06-0217:40:00.000000+0000,0.7
2018-06-0217:45:00.000000+0000,0.725
2018-06-0217:50:00.000000+0000,0.704166667
2018-06-0217:55:00.000000+0000,0.666666667
2018-06-0218:00:00.000000+0000,0.690980133
2018-06-0218:05:00.000000+0000,0.6875
2018-06-0218:10:00.000000+0000,0.7
2018-06-0218:15:00.000000+0000,0.695833333
2018-06-0218:20:00.000000+0000,0.691666667
2018-06-0218:25:00.000000+0000,0.675
2018-06-0218:30:00.000000+0000,0.65
2018-06-0218:35:00.000000+0000,0.7
2018-06-0218:40:00.000000+0000,0.699864546
2018-06-0218:45:00.000000+0000,0.6875
2018-06-0218:50:00.000000+0000,0.662220987
2018-06-0218:55:00.000000+0000,0.695833333
2018-06-0219:00:00.000000+0000,0.6875
2018-06-0219:05:00.000000+0000,1.370833333
2018-06-0219:10:00.000000+0000,0.670833333
2018-06-0219:15:00.000000+0000,0.708333333
2018-06-0219:20:00.000000+0000,0.704166667
2018-06-0219:25:00.000000+0000,0.75
2018-06-0219:30:00.000000+0000,0.695833333
2018-06-0219:35:00.000000+0000,0.695833333
2018-06-0219:40:00.000000+0000,0.666666667
2018-06-0219:45:00.000000+0000,0.679166667
2018-06-0219:50:00.000000+0000,0.670833333
2018-06-0219:55:00.000000+0000,0.679166667
2018-06-0220:00:00.000000+0000,0.633333333
2018-06-0220:05:00.000000+0000,0.7125
2018-06-0220:10:00.000000+0000,0.654166667
2018-06-0220:15:00.000000+0000,0.695833333
2018-06-0220:20:00.000000+0000,0.683333333
2018-06-0220:25:00.000000+0000,0.6875
2018-06-0220:30:00.000000+0000,0.670833333
2018-06-0220:35:00.000000+0000,0.654166667
2018-06-0220:40:00.000000+0000,0.6625
2018-06-0220:45:00.000000+0000,0.658333333
2018-06-0220:50:00.000000+0000,0.654652913
2018-06-0220:55:00.000000+0000,0.641666667
2018-06-0221:00:00.000000+0000,0.725
2018-06-0221:05:00.000000+0000,0.654166667
2018-06-0221:10:00.000000+0000,0.6375
2018-06-0221:15:00.000000+0000,0.641666667
2018-06-0221:20:00.000000+0000,0.658333333
2018-06-0221:25:00.000000+0000,0.683333333
2018-06-0221:30:00.000000+0000,0.620833333
2018-06-0221:35:00.000000+0000,0.666666667
2018-06-0221:40:00.000000+0000,0.658333333
2018-06-0221:45:00.000000+0000,0.662779013
2018-06-0221:50:00.000000+0000,0.6875
2018-06-0221:55:00.000000+0000,0.6125
2018-06-0222:00:00.000000+0000,0.666666667
2018-06-0222:05:00.000000+0000,0.654166667
2018-06-0222:10:00.000000+0000,0.691666667
2018-06-0222:15:00.000000+0000,0.633333333
